Place		Full Place Search	Yahoo LatLong	Google LatLong	Verified LatLong		Image URL						
Buffault, rue de	, Paris, France	Buffault, rue de, Paris, France	48.857885, 2.374665		48.857885, 2.374665			 	5	 	 	 	5
Buffon, rue de	, Paris, France	Buffon, rue de, Paris, France						 	3	 	 	 	3
Buisson	, Paris, France	Buisson, Paris, France						 	9, 12	 	 	 	9, 12
Bullion, hotel	, Paris, France	Bullion, hotel, Paris, France	48.87051, 2.380385		48.87051, 2.380385			 	4	 	 	 	4
Bussy, rue de	, Paris, France	Bussy, rue de, Paris, France						 	4, 6, 8	 	 	 	4, 6, 8
Cabinets de Lecture	, Paris, France	Cabinets de Lecture, Paris, France						 	12	 	 	 	12
Cadran, rue du	, Paris, France	Cadran, rue du, Paris, France						 	4	 	 	 	4
Cadran Bleu, du	, Paris, France	Cadran Bleu, du, Paris, France						 	4, 12	 	 	 	4, 12
Caire, place du	, Paris, France	Caire, place du, Paris, France						 	4	 	 	 	4
Calandre, rue de Ia	, Paris, France	Calandre, rue de Ia, Paris, France						 	11	 	 	 	11
Cambon, rue	, Paris, France	Cambon, rue, Paris, France	49.96593, 3.970635		49.96593, 3.970635			 	8	 	 	 	8
Canettes, rue des	, Paris, France	Canettes, rue des, Paris, France						 	6	 	 	 	6
Capucines, boulevard des	, Paris, France	Capucines, boulevard des, Paris, France			48° 52_ 13_ N 2° 19_ 48_ E 			 	8, 12	 	 	 	8, 12
Capucines, les (hospital)	, Paris, France	Capucines, les (hospital), Paris, France			 			 	1	 	 	 	1
Cardinal, Café	, Paris, France	Cardinal, Café, Paris, France	48.868613, 2.329849		48.868613, 2.329849			 	9, 12	 	 	 	9, 12
Carmelites, Convent	, Paris, France	Carmelites, Convent, Paris, France	48.854256, 2.33609		48.854256, 2.33609			 	1	 	 	 	1
Carnies, les	, Paris, France	Carnies, les, Paris, France			 			 	1	 	 	 	1
Carmes, couvent des	, Paris, France	Carmes, couvent des, Paris, France			 			 	6	 	 	 	6
Carnavalet, hotel	, Paris, France	Carnavalet, hotel, Paris, France			 			 	7	 	 	 	7
Caron, rue	, Paris, France	Caron, rue, Paris, France			48° 51_ 18_ N 2° 21_ 45_ E	http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0CDYQFjAA&url=http%3A%2F%2Ffr.wikipedia.org%2Fwiki%2FRue_Caron&ei=j_Q8Ueu0BqnXygGAxoFQ&usg=AFQjCNFyb1JIswANYSf84uQhbPt1dTK6cg&bvm=bv.43287494,d.aWc		 	4	 	Marais	 	4
Carrousel, cour du	, Paris, France	Carrousel, cour du, Paris, France						 	12	 	 	 	12
Carrousel, place du	, Paris, France	Carrousel, place du, Paris, France						 	8	 	 	 	8
Carrousel, Pont du	, Paris, France	Carrousel, Pont du, Paris, France						 	11	 	 	 	11
Cassette, rue	, Paris, France	Cassette, rue, Paris, France						 	6	 	 	 	6
Cassini, rue	, Paris, France	Cassini, rue, Paris, France	48.850955, 2.3307		48.850955, 2.3307			 	1, 14	 	 	 	1, 14
Castellane, hotel de	, Paris, France	Castellane, hotel de, Paris, France	48.837454, 2.336138		48.837454, 2.336138			 	12	 	 	 	12
Castiglione, rue de	, Paris, France	Castiglione, rue de, Paris, France						 	 8, 9	 	 	 	 8, 9
Castine, place	, Paris, France	Castine, place, Paris, France						 	4	 	 	 	4
Catacombs	, Paris, France	Catacombs, Paris, France						 	1	 	 	 	1
Caumartin, rue de	, Paris, France	Caumartin, rue de, Paris, France						 	8	 	 	 	8
Celestins, quai des	, Paris, France	Celestins, quai des, Paris, France						 	4	 	 	 	4
Censier, rue	, Paris, France	Censier, rue, Paris, France						 	3	 	 	 	3
Cerisaie, rue de Ia	, Paris, France	Cerisaie, rue de Ia, Paris, France	48.84102, 2.355375		48.84102, 2.355375			 	4	 	 	 	4
Chabannais, rue	, Paris, France	Chabannais, rue, Paris, France	49.96593, 3.970635		49.96593, 3.970635			 	8	 	 	 	8
Chaillot	, Paris, France	Chaillot, Paris, France	48.86776, 2.337055		48.86776, 2.337055			 	2	 	 	 	2
Chaillot, hill	, Paris, France	Chaillot, hill, Paris, France	48.867451, 2.29515		48.867451, 2.29515			 	2	 	 	 	2
Chaillot, quarter	, Paris, France	Chaillot, quarter, Paris, France	48.867, 2.297105		48.867, 2.297105			 	2	 	 	 	2
Chamber of Deputies	, Paris, France	Chamber of Deputies, Paris, France						 	10	 	 	 	10
Chambre, Pont de Ia	, Paris, France	Chambre, Pont de Ia, Paris, France						 	11	 	 	 	11
Champfleuri, rue de	, Paris, France	Champfleuri, rue de, Paris, France						 	8	 	 	 	8
Champs-Elysées	, Paris, France	Champs-Elysées, Paris, France						 	2	 	 	 	2
Champs-Eiysées, quarter	, Paris, France	Champs-Eiysées, quarter, Paris, France	48.87312, 2.29716		48.87312, 2.29716			 	2	 	 	 	2
Champs-Elysées, rond-point des	, Paris, France	Champs-Elysées, rond-point des, Paris, France						 	2	 	 	 	2
Champs-Elysées, rue des	, Paris, France	Champs-Elysées, rue des, Paris, France	48.852615, 2.36235		48.852615, 2.36235			 	8	 	 	 	8
Chancellerie, Ia	, Paris, France	Chancellerie, Ia, Paris, France	44.719885, -0.023449		44.719885, -0.023449			 	8	 	 	 	8
Change, Pont-au-	, Paris, France	Change, Pont-au-, Paris, France						 	11	 	 	 	11
Chanoinesse, rue	, Paris, France	Chanoinesse, rue, Paris, France						 	11	 	 	 	11
Chantereine, rue	, Paris, France	Chantereine, rue, Paris, France	48.8543, 2.3499		48.8543, 2.3499			 	5, 9	 	 	 	5, 9
Chantre, rue du	, Paris, France	Chantre, rue du, Paris, France						 	8	 	 	 	8
Chantres, rue des	, Paris, France	Chantres, rue des, Paris, France						 	11	 	 	 	11
Chapon, rue	, Paris, France	Chapon, rue, Paris, France						 	4	 	 	 	4
Charenton	, Paris, France	Charenton, Paris, France						 	2	 	 	 	2
Charenton, asylum	, Paris, France	Charenton, asylum, Paris, France	48.830386, 2.403591		48.830386, 2.403591			 	2	 	 	 	2
Charenton, ferry	, Paris, France	Charenton, ferry, Paris, France						 	1	 	 	 	1
Charenton, rue de	, Paris, France	Charenton, rue de, Paris, France						 	2	 	 	 	2
Charlemagne, lyce	, Paris, France	Charlemagne, lyce, Paris, France	48.831555, 2.39808		48.831555, 2.39808			 	4	 	 	 	4
Charles V, wall of	, Paris, France	Charles V, wall of, Paris, France	48.854964, 2.360464		48.854964, 2.360464			 	1	 	 	 	1
Charles-X, rue	, Paris, France	Charles-X, rue, Paris, France	48.852615, 2.36235		48.852615, 2.36235			 	9	 	 	 	9
Chariot, rue	, Paris, France	Chariot, rue, Paris, France						 	4, 12	 	 	 	4, 12
Charonne, rue de	, Paris, France	Charonne, rue de, Paris, France						 	2, 4	 	 	 	2, 4
Chartres, rue de	, Paris, France	Chartres, rue de, Paris, France	48.852036, 2.409024		48.852036, 2.409024			 	 2, 8	 	 	 	 2, 8
Chartres (du Roule), rue de	, Paris, France	Chartres (du Roule), rue de, Paris, France						 	2	 	 	 	2
Chartreux, Cloister	, Paris, France	Chartreux, Cloister, Paris, France						 	1, 6	 	 	 	1, 6
Chartreux, Monastery	, Paris, France	Chartreux, Monastery, Paris, France						 	1	 	 	 	1
"""Chateau"", ""Le"""	, Paris, France	"""Chateau"", ""Le"", Paris, France"						 	8	 	 	 	8
Chateau d'Eau	, Paris, France	Chateau d'Eau, Paris, France	48.876265, 2.33392		48.876265, 2.33392			 	4	 	 	 	4
Chateau d'Eau (du Palais-Royal)	, Paris, France	Chateau d'Eau (du Palais-Royal), Paris, France	48.872592, 2.355126		48.872592, 2.355126			 	8	 	 	 	8
Chatelet, place du 	, Paris, France	Chatelet, place du , Paris, France	48.872592, 2.355126		48.872592, 2.355126			 	4, 12	 	 	 	4, 12
Chatelet, Tribunal du	, Paris, France	Chatelet, Tribunal du, Paris, France						 	4	 	 	 	4
Chauchat, rue	, Paris, France	Chauchat, rue, Paris, France						 	5, 9	 	 	 	5, 9
Chaume, rue du	, Paris, France	Chaume, rue du, Paris, France	48.87445, 2.339765		48.87445, 2.339765			 	4	 	 	 	4
Chaumière, Ia	, Paris, France	Chaumière, Ia, Paris, France						 	1	 	 	 	1
Cherche-Midi, rue du	, Paris, France	Cherche-Midi, rue du, Paris, France						 	1	 	 	 	1
Cheval Rouge	, Paris, France	Cheval Rouge, Paris, France	50.09643, 2.85933		50.09643, 2.85933			 	 3, 12	 	 	 	 3, 12
Chevet	, Paris, France	Chevet, Paris, France	48.887455, 2.34977		48.887455, 2.34977			 	12, 14	 	 	 	12, 14
Chocardelie, Cabinet de Lecture de ilhle	, Paris, France	Chocardelie, Cabinet de Lecture de ilhle, Paris, France	48.868715, 2.372735		48.868715, 2.372735			 	5	 	 	 	5
Choiseul, hotel de	, Paris, France	Choiseul, hotel de, Paris, France	48.852615, 2.36235		48.852615, 2.36235			 	9, 13	 	 	 	9, 13
Choiseul, rue de	, Paris, France	Choiseul, rue de, Paris, France						 	9, 12	 	 	 	9, 12
Cinq-Diamants, rue des	, Paris, France	Cinq-Diamants, rue des, Paris, France						 	4	 	 	 	4
Cirque	, Paris, France	Cirque, Paris, France	44.719885, -0.023449		44.719885, -0.023449			 	2, 12, 13	 	 	 	2, 12, 13
Cirque National	, Paris, France	Cirque National, Paris, France	48.870395, 2.314525		48.870395, 2.314525			 	13	 	 	 	13
Cirque Olympique	, Paris, France	Cirque Olympique, Paris, France	48.83304, 2.42267		48.83304, 2.42267			 	13	 	 	 	13
Cite, Ia	, Paris, France	Cite, Ia, Paris, France						 	11	 	 	 	11
Cite, quai de la	, Paris, France	Cite, quai de la, Paris, France						 	11	 	 	 	11
Clef, rue de la	, Paris, France	Clef, rue de la, Paris, France	48.82401, 2.339649		48.82401, 2.339649			 	3	 	 	 	3
Qermont, College de	, Paris, France	Qermont, College de, Paris, France						 	6	 	 	 	6
Clery, rue de	, Paris, France	Clery, rue de, Paris, France	45.315758, 7.039426		45.315758, 7.039426			 	 4, 9	 	 	 	 4, 9
Clichy, prison	, Paris, France	Clichy, prison, Paris, France						 	2	 	 	 	2
Clichy, rue de	, Paris, France	Clichy, rue de, Paris, France						 	5	 	 	 	5
Clignancourt, road	, Paris, France	Clignancourt, road, Paris, France						 	4	 	 	 	4
Clopin, rue	, Paris, France	Clopin, rue, Paris, France	48.90124, 2.34423		48.90124, 2.34423			 	3	 	 	 	3
Cluny, hotel de	, Paris, France	Cluny, hotel de, Paris, France						 	6, 12	 	 	 	6, 12
Cluny, rue de	, Paris, France	Cluny, rue de, Paris, France						 	 6, 12	 	 	 	 6, 12
Coblence, boulevard'de	, Paris, France	Coblence, boulevard'de, Paris, France						 	12	 	 	 	12
Coehin, hospital	, Paris, France	Coehin, hospital, Paris, France						 	1	 	 	 	1
Caur-Volant, rue du	, Paris, France	Caur-Volant, rue du, Paris, France						 	6	 	 	 	6
Colbert, rue	, Paris, France	Colbert, rue, Paris, France	50.09643, 2.85933		50.09643, 2.85933			 	9	 	 	 	9
Coligny, hotel de	, Paris, France	Coligny, hotel de, Paris, France						 	4, 8	 	 	 	4, 8
Colombe, rue de la	, Paris, France	Colombe, rue de la, Paris, France	48.866315, 2.339		48.866315, 2.339			 	11	 	 	 	11
Colombier, rue du	, Paris, France	Colombier, rue du, Paris, France	45.315758, 7.039426		45.315758, 7.039426			 	4	 	 	 	4
Colonne, Ia	, Paris, France	Colonne, Ia, Paris, France						 	8	 	 	 	8
Colonne de Juillet, la	, Paris, France	Colonne de Juillet, la, Paris, France	48.86966, 2.339465		48.86966, 2.339465			 	7	 	 	 	7
Colonnes, rue des	, Paris, France	Colonnes, rue des, Paris, France	45.315758, 7.039426		45.315758, 7.039426			 	9	 	 	 	9
Colunrn of Catherine	, Paris, France	Colunrn of Catherine, Paris, France	48.84619, 2.398675		48.84619, 2.398675			 	4	 	 	 	4
Comédie-Française	, Paris, France	Comédie-Française, Paris, France			48°51_48.5_N 2°20_9.50_E 	http://fr.wikipedia.org/wiki/Comédie-Française		 	13	 	 	 	13
Commerce, Hotel du	, Paris, France	Commerce, Hotel du, Paris, France						 	12	 	 	 	12
Commerce, passage du	, Paris, France	Commerce, passage du, Paris, France						 	6	 	 	 	6
Commerce, Tribunal du	, Paris, France	Commerce, Tribunal du, Paris, France						 	4	 	 	 	4
Commerce et des Arts, Cafe du	, Paris, France	Commerce et des Arts, Cafe du, Paris, France						 	12	 	 	 	12
Comptes, Cour des	, Paris, France	Comptes, Cour des, Paris, France	48.852615, 2.36235		48.852615, 2.36235			 	11	 	 	 	11
Comte, theatre de	, Paris, France	Comte, theatre de, Paris, France	48.86411, 2.3995		48.86411, 2.3995			 	13	 	 	 	13
Conciergerie, Ia	, Paris, France	Conciergerie, Ia, Paris, France						 	4, 7, 11	 	 	 	4, 7, 11
Concorde, place de Ia	, Paris, France	Concorde, place de Ia, Paris, France						 	8	 	 	 	8
Concorde, Pont de Ia	, Paris, France	Concorde, Pont de Ia, Paris, France						 	11	 	 	 	11
Conde, rue	, Paris, France	Conde, rue, Paris, France	47.612207, -2.120567		47.612207, -2.120567			 	6	 	 	 	6
Conference, place de la	, Paris, France	Conference, place de la, Paris, France						 	8	 	 	 	8
Congres, Hotel du	, Paris, France	Congres, Hotel du, Paris, France						 	12	 	 	 	12
Conquête de la Toison d'Or, A la	, Paris, France	Conquête de la Toison d'Or, A la, Paris, France						 	12	 	 	 	12
Conservatoire	, Paris, France	Conservatoire, Paris, France	48.852615, 2.36235		48.852615, 2.36235			 	 4, 9	 	 	 	 4, 9
Conti, quai de	, Paris, France	Conti, quai de, Paris, France	48.87357, 2.34689		48.87357, 2.34689			 	6	 	 	 	6
Contrat-Social, rue du	, Paris, France	Contrat-Social, rue du, Paris, France						 	4	 	 	 	4
Contrescarpe, rue	, Paris, France	Contrescarpe, rue, Paris, France	50.09643, 2.85933		50.09643, 2.85933			 	6	 	 	 	6
Contrescarpe Dauphine, rue	, Paris, France	Contrescarpe Dauphine, rue, Paris, France	48.84459, 2.349394		48.84459, 2.349394			 	6	 	 	 	6
Convention, rue de Ia	, Paris, France	Convention, rue de Ia, Paris, France						 	8	 	 	 	8
Coq, rue du	, Paris, France	Coq, rue du, Paris, France	49.96593, 3.970635		49.96593, 3.970635			 	8	 	 	 	8
Coq Heron, rue du	, Paris, France	Coq Heron, rue du, Paris, France						 	8	 	 	 	8
Coq-Saint-Honoré, rue du	, Paris, France	Coq-Saint-Honoré, rue du, Paris, France	50.09643, 2.85933		50.09643, 2.85933			 	8	 	 	 	8
Coq (Saint-Jean), rue du	, Paris, France	Coq (Saint-Jean), rue du, Paris, France						 	4	 	 	 	4
Coquenard, rue	, Paris, France	Coquenard, rue, Paris, France						 	5	 	 	 	5
Coquilles, rue des	, Paris, France	Coquilles, rue des, Paris, France						 	4	 	 	 	4
Coquillière, rue	, Paris, France	Coquillière, rue, Paris, France	48.864635, 2.340645		48.864635, 2.340645			 	8	 	 	 	8
Corderie, rue de Ia	, Paris, France	Corderie, rue de Ia, Paris, France	49.96593, 3.970635		49.96593, 3.970635			 	4	 	 	 	4
Corderie-du-Tenipie, rue de la	, Paris, France	Corderie-du-Tenipie, rue de la, Paris, France	49.96593, 3.970635		49.96593, 3.970635			 	4	 	 	 	4
Cordiers, rue des	, Paris, France	Cordiers, rue des, Paris, France	48.861385, 2.342854		48.861385, 2.342854			 	 6, 12	 	 	 	 6, 12
Corneille, Hotel	, Paris, France	Corneille, Hotel, Paris, France						 	6, 12	 	 	 	6, 12
Conneille, rue	, Paris, France	Conneille, rue, Paris, France						 	6, 12	 	 	 	6, 12
Cosmoramas	, Paris, France	Cosmoramas, Paris, France						 	13	 	 	 	13
Cour Batave	, Paris, France	Cour Batave, Paris, France						 	4	 	 	 	4
Enfer, boulevard'd'	, Paris, France	Enfer, boulevard'd', Paris, France						 	12	28	 	 	12
Enfer, quarter	, Paris, France	Enfer, quarter, Paris, France						 	1	 	 	 	1
Enfer, rue d'	, Paris, France	Enfer, rue d', Paris, France						 	1, 6	 	 	 	1, 6
Enghien, rue d'	, Paris, France	Enghien, rue d', Paris, France						 	4, 9, 12	 	 	 	4, 9, 12
Epargne, Caisse d'	, Paris, France	Epargne, Caisse d', Paris, France						 	4	 	 	 	4
Epée-de-Bois, rue de l’	, Paris, France	Epée-de-Bois, rue de l’, Paris, France						 	3	 	 	 	3
Erard	, Paris, France	Erard, Paris, France	50.09643, 2.85933		50.09643, 2.85933			 	12	 	 	 	12
Est, cimetière de l'	, Paris, France	Est, cimetière de l', Paris, France	48.852615, 2.36235		48.852615, 2.36235			 	2	 	 	 	2
Est, rue de l'	, Paris, France	Est, rue de l', Paris, France	48.845715, 2.384325		48.845715, 2.384325			 	1	 	 	 	1
Estaminet Hollandais	, Paris, France	Estaminet Hollandais, Paris, France	50.09643, 2.85933		50.09643, 2.85933			 	12, 14	 	 	 	12, 14
Estanipes, Cabinet des	, Paris, France	Estanipes, Cabinet des, Paris, France						 	8	 	 	 	8
Estrapade, place de l'	, Paris, France	Estrapade, place de l', Paris, France						 	3	 	 	 	3
Estrapade, quarter	, Paris, France	Estrapade, quarter, Paris, France						 	3	 	 	 	3
Etoile, l'	, Paris, France	Etoile, l', Paris, France						 	2	 	 	 	2
Etrangers, Cercle des	, Paris, France	Etrangers, Cercle des, Paris, France	48.873227, 2.295354		48.873227, 2.295354			 	9	 	 	 	9
Etrangers, Salon des	, Paris, France	Etrangers, Salon des, Paris, France						 	12	 	 	 	12
Europe, place de l'	, Paris, France	Europe, place de l', Paris, France						 	2	 	 	 	2
Eveque, rue de l'	, Paris, France	Eveque, rue de l', Paris, France						 	8	 	 	 	8
Faculte	, Paris, France	Faculte, Paris, France	50.09643, 2.85933		50.09643, 2.85933			 	6	 	 	 	6
Farry, Breilman et Cle	, Paris, France	Farry, Breilman et Cle, Paris, France						 	12	 	 	 	12
Favart, rue	, Paris, France	Favart, rue, Paris, France	48.053765, -1.302733		48.053765, -1.302733			 	9	 	 	 	9
Favart, theatre	, Paris, France	Favart, theatre, Paris, France						 	13	 	 	 	13
Femme-sans-tête, rue de la	, Paris, France	Femme-sans-tête, rue de la, Paris, France						 	11	 	 	 	11
Ferme, rue de la	, Paris, France	Ferme, rue de la, Paris, France	49.96593, 3.970635		49.96593, 3.970635			 	9	 	 	 	9
Ferou., rue	, Paris, France	Ferou., rue, Paris, France	45.315758, 7.039426		45.315758, 7.039426			 	6	 	 	 	6
Ferrailie, quai de Ia	, Paris, France	Ferrailie, quai de Ia, Paris, France						 	 4, 8	 	 	 	 4, 8
Ferronnerie, rue de Ia	, Paris, France	Ferronnerie, rue de Ia, Paris, France	47.612207, -2.120567		47.612207, -2.120567			 	4	 	 	 	4
Feuillantines, impasse des	, Paris, France	Feuillantines, impasse des, Paris, France	49.96593, 3.970635		49.96593, 3.970635			 	1	 	 	 	1
Feuillants, terrasse des	, Paris, France	Feuillants, terrasse des, Paris, France						 	8	 	 	 	8
Feydeau, passage	, Paris, France	Feydeau, passage, Paris, France						 	9	 	 	 	9
Feydeau, rue	, Paris, France	Feydeau, rue, Paris, France						 	9	 	 	 	9
Feydeau, theatre	, Paris, France	Feydeau, theatre, Paris, France	48.8705, 2.34123		48.8705, 2.34123			 	13	 	 	 	13
Fichet	, Paris, France	Fichet, Paris, France						 	12	 	 	 	12
Fidelite, rue de Ia	, Paris, France	Fidelite, rue de Ia, Paris, France						 	4	 	 	 	4
Filles-du-Calvaire, boulevard'des	, Paris, France	Filles-du-Calvaire, boulevard'des, Paris, France	49.96593, 3.970635		49.96593, 3.970635			 	12	 	 	 	12
Flechier, rue	, Paris, France	Flechier, rue, Paris, France	44.719885, -0.023449		44.719885, -0.023449			 	5	 	 	 	5
Fleurs, Marche aux	, Paris, France	Fleurs, Marche aux, Paris, France	48.87634, 2.33916		48.87634, 2.33916			 	11	 	 	 	11
Fleurs, quai aux	, Paris, France	Fleurs, quai aux, Paris, France						 	11	 	 	 	11
Fleurus, rue de	, Paris, France	Fleurus, rue de, Paris, France						 	6	 	 	 	6
Flicoteaux	, Paris, France	Flicoteaux, Paris, France						 	 6, 12	 	 	 	 6, 12
Foi, cafe de	, Paris, France	Foi, cafe de, Paris, France						 	12	 	 	 	12
Fontaine, rue	, Paris, France	Fontaine, rue, Paris, France						 	5	 	 	 	5
Force, Ia	, Paris, France	Force, Ia, Paris, France	48.869825, 2.378725		48.869825, 2.378725			 	4, 7	 	 	 	4, 7
Fortunée, rue	, Paris, France	Fortunée, rue, Paris, France						 	2	 	 	 	2
Fossin	, Paris, France	Fossin, Paris, France	48.848981, 2.247743		48.848981, 2.247743			 	12	 	 	 	12
Fouarre, rue du	, Paris, France	Fouarre, rue du, Paris, France						 	6	 	 	 	6
Fourreurs, Pont-aux	, Paris, France	Fourreurs, Pont-aux, Paris, France						 	11	 	 	 	11
Fourreurs, rue des	, Paris, France	Fourreurs, rue des, Paris, France						 	4	 	 	 	4
Foy, Cafe de	, Paris, France	Foy, Cafe de, Paris, France						 	12	 	 	 	12
Francaise, rue	, Paris, France	Francaise, rue, Paris, France						 	4	 	 	 	4
Francais, theatre	, Paris, France	Francais, theatre, Paris, France	48.864045, 2.34756		48.864045, 2.34756			 	13	 	 	 	13
France, Banque de	, Paris, France	France, Banque de, Paris, France	48.86317, 2.335795		48.86317, 2.335795			 	8	 	 	 	8
France, College de	, Paris, France	France, College de, Paris, France						 	6	 	 	 	6
France, place de	, Paris, France	France, place de, Paris, France						 	 2, 7	 	 	 	 2, 7
Francklin, rue	, Paris, France	Francklin, rue, Paris, France	48.85645, 2.399742		48.85645, 2.399742			 	2	 	 	 	2
Franconi	, Paris, France	Franconi, Paris, France						 	13	 	 	 	13
Frascati	, Paris, France	Frascati, Paris, France	48.891015, 2.340095		48.891015, 2.340095			 	9, 12	 	 	 	9, 12
Freres Provencaux	, Paris, France	Freres Provencaux, Paris, France						 	12, 14	 	 	 	12, 14
Froidmanteau, rue	, Paris, France	Froidmanteau, rue, Paris, France						 	8	 	 	 	8
Froment-Meurice	, Paris, France	Froment-Meurice, Paris, France						 	12	 	 	 	12
Frondeurs, rue des	, Paris, France	Frondeurs, rue des, Paris, France						 	8	 	 	 	8
Fugger	, Paris, France	Fugger, Paris, France						 	12	 	 	 	12
Funambules, Theatre des	, Paris, France	Funambules, Theatre des, Paris, France						 	12, 13	 	 	 	12, 13
Gabriel, avenue	, Paris, France	Gabriel, avenue, Paris, France						 	8	 	 	 	8
Gabriel, pavillon de	, Paris, France	Gabriel, pavillon de, Paris, France	48.885154, 2.313289		48.885154, 2.313289			 	8	 	 	 	8
Gaiete, Theatre de la	, Paris, France	Gaiete, Theatre de la, Paris, France						 	12, 13	 	 	 	12, 13
Gaillard-Bois, hotel du	, Paris, France	Gaillard-Bois, hotel du, Paris, France	45.315758, 7.039426		45.315758, 7.039426			 	12	 	 	 	12
Gaillon, rue	, Paris, France	Gaillon, rue, Paris, France	48.852615, 2.36235		48.852615, 2.36235			 	8	 	 	 	8
Galeries-de-Bois	, Paris, France	Galeries-de-Bois, Paris, France	48.868955, 2.334155		48.868955, 2.334155			 	14	 	 	 	14
Galerie Marchande	, Paris, France	Galerie Marchande, Paris, France						 	11	 	 	 	11
Galerie-de-Pierre	, Paris, France	Galerie-de-Pierre, Paris, France						 	14	 	 	 	14
Galignani	, Paris, France	Galignani, Paris, France	48.886555, 2.32427		48.886555, 2.32427			 	12	 	 	 	12
Ganser et Beuzelin, school	, Paris, France	Ganser et Beuzelin, school, Paris, France						 	7	 	 	 	7
Garancière, rue	, Paris, France	Garancière, rue, Paris, France	48.852615, 2.36235		48.852615, 2.36235			 	6	 	 	 	6
Garde-Meuble	, Paris, France	Garde-Meuble, Paris, France	48.851015, 2.335716		48.851015, 2.335716			 	8	 	 	 	8
Gay	, Paris, France	Gay, Paris, France						 	12	 	 	 	12
Geoffroy-Marie, rue	, Paris, France	Geoffroy-Marie, rue, Paris, France						 	9	 	 	 	9
Gobelins	, Paris, France	Gobelins, Paris, France	48.873605, 2.34383		48.873605, 2.34383			 	3	 	 	 	3
Gobelins, bridge	, Paris, France	Gobelins, bridge, Paris, France	48.83632, 2.35218		48.83632, 2.35218			 	3	 	 	 	3
Godot, rue	, Paris, France	Godot, rue, Paris, France						 	8	 	 	 	8
Granimont, rue de	, Paris, France	Granimont, rue de, Paris, France						 	9, 12	 	 	 	9, 12
Grammont, Chth de Ia, rue	, Paris, France	Grammont, Chth de Ia, rue, Paris, France						 	12	 	 	 	12
Grand'Balcon, Maison du	, Paris, France	Grand'Balcon, Maison du, Paris, France	49.96593, 3.970635		49.96593, 3.970635			 	12	 	 	 	12
Grand-Hurleur, rue du	, Paris, France	Grand-Hurleur, rue du, Paris, France	50.09643, 2.85933		50.09643, 2.85933			 	4	 	 	 	4
Grandes Messageries	, Paris, France	Grandes Messageries, Paris, France	48.89549, 2.34173		48.89549, 2.34173			 	4	 	 	 	4
Grands-Augustins, rue des	, Paris, France	Grands-Augustins, rue des, Paris, France	47.217363, -0.453949		47.217363, -0.453949			 	6	 	 	 	6
Grange-Batelière, rue	, Paris, France	Grange-Batelière, rue, Paris, France	44.719885, -0.023449		44.719885, -0.023449			 	9, 2	 	 	 	9, 2
Grassins, College des	, Paris, France	Grassins, College des, Paris, France	48.873255, 2.3407		48.873255, 2.3407			 	6	 	 	 	6
Gravilliers, rue des	, Paris, France	Gravilliers, rue des, Paris, France						 	4	 	 	 	4
Greneile, rue de	, Paris, France	Greneile, rue de, Paris, France						 	 10, 12	 	 	 	 10, 12
Greneile-Saint-Honoré, rue ae	, Paris, France	Greneile-Saint-Honoré, rue ae, Paris, France						 	8	 	 	 	8
Grenetat, rue	, Paris, France	Grenetat, rue, Paris, France						 	4	 	 	 	4
Greniers d'Abondance	, Paris, France	Greniers d'Abondance, Paris, France						 	4	 	 	 	4
Gres, rue des	, Paris, France	Gres, rue des, Paris, France						 	6	 	 	 	6
Greave, port de Ia	, Paris, France	Greave, port de Ia, Paris, France	47.612207, -2.120567		47.612207, -2.120567			 	4	 	 	 	4
Greve, place ile	, Paris, France	Greve, place ile, Paris, France	48.861385, 2.342854		48.861385, 2.342854			 	4	 	 	 	4
Greve, quai de Ia	, Paris, France	Greve, quai de Ia, Paris, France						 	4	 	 	 	4
Gros-Caillou, le	, Paris, France	Gros-Caillou, le, Paris, France						 	1	 	 	 	1
Gros-Cajllou, rue du	, Paris, France	Gros-Cajllou, rue du, Paris, France	48.862915, 2.304461		48.862915, 2.304461			 	3	 	 	 	3
Gros-Chenet, rue du	, Paris, France	Gros-Chenet, rue du, Paris, France	50.09643, 2.85933		50.09643, 2.85933			 	9	 	 	 	9
Guenegaud, rue	, Paris, France	Guenegaud, rue, Paris, France	50.09643, 2.85933		50.09643, 2.85933			 	6	 	 	 	6
Guichet	, Paris, France	Guichet, Paris, France	48.855842, 2.338824		48.855842, 2.338824			 	11	 	 	 	11
Gyninase	, Paris, France	Gyninase, Paris, France						 	12, 13	 	 	 	12, 13
Halle	, Paris, France	Halle, Paris, France						 	4	 	 	 	4
Halie aux Bles	, Paris, France	Halie aux Bles, Paris, France	48.830723, 2.334115		48.830723, 2.334115			 	4	 	 	 	4
Halle aux Cuirs	, Paris, France	Halle aux Cuirs, Paris, France						 	4	 	 	 	4
Hailes, Piliers des	, Paris, France	Hailes, Piliers des, Paris, France						 	4	 	 	 	4
Halle aux Vms	, Paris, France	Halle aux Vms, Paris, France						 	3	 	 	 	3
Hanovre, Pavilion de	, Paris, France	Hanovre, Pavilion de, Paris, France						 	12	 	 	 	12
Hanovre, rue de	, Paris, France	Hanovre, rue de, Paris, France						 	9	 	 	 	9
Harcourt, College d'	, Paris, France	Harcourt, College d', Paris, France						 	6	 	 	 	6
