Region	Type of Place	Description	Discourse	Character(s) Involved	Date	Types Involved	Book	Roman Numerals	Pages		see Also	Date	Types Involved	Book Title	Book	Roman Numerals	Pages		Character Names	Place Raw	Quartier	Lat Long	WikiURL	ImageURL
The Small Tradespeople	Street	Rich druggist of the rue des Lombards					SP	XXXVIII	27	 				Souvenirs d'un Paris	SP	XXXVIII	27	 		rue des Lombards				
The Small Tradespeople	Street	Rich druggist of the rue des Lombards					IMP	XXXIX	340	 				IMP	IMP	XXXIX	340	 		rue des Lombards				
The Small Tradespeople	Street	The rue Ogniard					JL	 	10, 29	 				Jean-Louis	JL	 	10, 29	 		rue Ogniard				
The Small Tradespeople	Street	"""Shepherds” of the rue Trousse-Vache"					DE 	XXXVIII	177	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	177	 		rue Trousse-Vache				
The Small Tradespeople	Street	The place Gastine					SP 	XXXVIII	283	 				Souvenirs d'un Paris	SP 	XXXVIII	283	 		Gastine				
The Small Tradespeople	Chruch	Gouraud one of generals who took Saint-Merry church		Gouraud			P 	IX	164	 				Pierrette	P 	IX	164	 	Gouraud	Saint-Merry				
The Small Tradespeople	Chruch	"The Saint-Merry affair (1832) ; political reference"					E 	XIX	254	 				Les employés	E 	XIX	254	 		Saint-Merry				
The Small Tradespeople	Chruch	Michel Chrestien killed in the Saint-Merry affair		Michel Chrestien			SPC 	XVI	 316, 316, 316, 317, 327	 				Les secrets de la princesse de Cadignan	SPC 	XVI	 316, 316, 316, 317, 327	 	Michel Chrestien	Saint-Merry				
The Small Tradespeople	Chruch	Leopold Hannequin wounded at Saint-Merry		Leopold Hannequin			AS 	III	77	 				Albert Savarus 	AS 	III	77	 	Leopold Hannequin	Saint-Merry				
The Small Tradespeople	Chruch	The cap business was bad after Saint-Merry					MN 	XIV	402	 				La maison Nucingen 	MN 	XIV	402	 		Saint-Merry				
The Small Tradespeople	Chruch	The catastrophe of Saint-Merry					PB 	XX	"39;"	 				Les petits bourgeois	PB 	XX	"39;"	 		Saint-Merry				
The Small Tradespeople	Chruch	The catastrophe of Saint-Merry					E	XIX	254, 254	 				Les employés	E	XIX	254, 254	 		Saint-Merry				
The Small Tradespeople	Chruch	Phéllion had led his battalion to attack Saint-Merry		Phéllion			PB 	XX	89	 				Les petits bourgeois	PB 	XX	89	 	Phéllion	Saint-Merry				
The Small Tradespeople	Chruch	Marshal Soult at Saint-Merry		Marshal Soult			EC 	XL	17	 				EC 	EC 	XL	17	 	Marshal Soult	Saint-Merry				
The Small Tradespeople	Chruch	Attitude of Thiers and Soult on occasion of Saint-Merry		Thiers, Soult			RePa 	XL	334	 				Revue parisienne 	RePa 	XL	334	 	Thiers, Soult	Saint-Merry				
The Small Tradespeople	Chruch	Michel Chrestien killed at Saint-Merry		Michel Chrestien			RePa 	XL	392	 				Revue parisienne 	RePa 	XL	392	 	Michel Chrestien	Saint-Merry				
The Small Tradespeople	Chruch	"Tribunal du Commerce held in the cloister of Saint-Merry; César goes there"		César			GDCB 	XIV	309	 				Histoire de la grandeur et la décadence de César Birotteau 	GDCB 	XIV	309	 	César	Saint-Merry				
The Small Tradespeople	Chruch	Michel Chrestien died in the cloister of Saint-Merry		Michel Chrestien			IP 	XII	78	 				Illusions perdues 	IP 	XII	78	 	Michel Chrestien	Saint-Merry				
The Small Tradespeople	Chruch	Michel Chrestien buried by his friends after the affair of Saint-Merry		Michel Chrestien			IP 	XII	81	 				Illusions perdues 	IP 	XII	81	 	Michel Chrestien	Saint-Merry				
The Small Tradespeople	Court	Birottean is one of the businessmen of the Tribunal de Commerce		Birottean			GDCB 	XIV	17	 				Histoire de la grandeur et la décadence de César Birotteau 	GDCB 	XIV	17	 	Birottean	Tribunal de Commerce				
The Small Tradespeople	Chruch	He returns from the Tribunal de Commerce at Saint-Merry					GDCB 	XIV	309	 				Histoire de la grandeur et la décadence de César Birotteau 	GDCB 	XIV	309	 		Saint-Merry				
The Small Tradespeople	Court	M. Duval is a judge at the Tribunal de Commerce		M. Duval			EcM 	XXXV	366	 				EcM 	EcM 	XXXV	366	 	M. Duval	Tribunal de Commerce				
The Small Tradespeople	Court	In 1825-1826 a banker presided at the Tribunal de Commerce					MM 	II	30	 				Modeste Mignon 	MM 	II	30	 		Tribunal de Commerce				
The Small Tradespeople	Street	Saint-Laurent’s church in the faubourg Saint-Martin					ET 	XXI	3	 				ET 	ET 	XXI	3	 		faubourg Saint-Martin				
The Small Tradespeople	Street	"Scene of the drama is the upper regions of the faubourg; a deserted place"					ET 	XXI	9	 				ET 	ET 	XXI	9	 		faubourg Saint-Martin				
The Small Tradespeople	Street	Chahert fainted near an iron merchant’s when crossing the faubourg Saint-Martin		Chahert			CC 	VII	30	 				Le colonel Chabert 	CC 	VII	30	 	Chahert	faubourg Saint-Martin				
The Small Tradespeople	Street	"The Saint-Martin quarter is joined to the Halles quarter by the Cour Batave and the rue Quincampoix; description of adjacent Streets"					GDCB 	XIV	91, 91	 				Histoire de la grandeur et la décadence de César Birotteau 	GDCB 	XIV	91, 91	 		faubourg Saint-Martin				
The Small Tradespeople	Street	Gigonnet discounted the bills of the quarter Saint-Martin					E 	XIX	55, 56.	 				Les employés	E 	XIX	55, 56.	 		faubourg Saint-Martin				
The Small Tradespeople	Street	Florine’s apartment furnished by Matifat is situated in the rue de Bondy		Matifat			IP 	XII	117, 146, 170.	 				Illusions perdues 	IP 	XII	117, 146, 170.	 	Matifat	rue de Bondy				
The Small Tradespeople	Street	Topinard lives in Cite Bordin, which connects with the rue de Bondy		Topinard			Po 	XVIII	337, 338, 352.	 				Le cousin Pons	Po 	XVIII	337, 338, 352.	 	Topinard	rue de Bondy				
The Small Tradespeople	Street	The rue Bourg-l’Ahbe					LF 	 	341	 				LF 	LF 	 	341	 		rue Bourg-l’Ahbe				
The Small Tradespeople	Street	Cerizet’s stairway came from the rue Chapon					PB 	XX	133	 				Les petits bourgeois	PB 	XX	133	 		rue Chapon				
The Small Tradespeople	Street	The rue Chapon					TA 	XXXIX	515	 				Terme d'Avril	TA 	XXXIX	515	 		rue Chapon				
The Small Tradespeople	Street	Situation of the house where the drama of the rue duFaubourg-Saint.Martin takes place					ET 	XXI	9	 				ET 	ET 	XXI	9	 		rue duFaubourg-Saint.Martin				
The Small Tradespeople	Street	A la Pucefle d’Orléans, wine, rue du Faubourg-Saint Martin, 3					DE 	XXXVIII	178	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	178	 		rue duFaubourg-Saint.Martin				
The Small Tradespeople	Street	The rue du Grand-Hurleur					EM	XXXIX	428	 				Exaltation des ministres et translation de leurs restes dans les caveaux du Panthéon	EM	XXXIX	428	 		rue du Grand-Hurleur				
The Small Tradespeople	Street	Hoeffer, shoemaker, rue des Gravilliers, 37		Hoeffer,			DE 	XXXVIII	168	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	168	 	Hoeffer,	rue des Gravilliers				
The Small Tradespeople	Street	Gigonnet lives in the rue Grenetat		Gigonnet			GDCB 	XIV	97	 				Histoire de la grandeur et la décadence de César Birotteau 	GDCB 	XIV	97	 	Gigonnet	 rue Grenetat				
The Small Tradespeople	Street	Description of Gigonnet’s house, rue Grenetat		Gigonnet			GDCB 	XIV	274, 275, 276, 283	 				Histoire de la grandeur et la décadence de César Birotteau 	GDCB 	XIV	274, 275, 276, 283	 	Gigonnet	 rue Grenetat				
The Small Tradespeople	Street	Gigonnet’s business in the quarter of the rue Grenetat		Gigonnet			E	XIX	55	 				Les employés	E	XIX	55	 	Gigonnet	 rue Grenetat				
The Small Tradespeople	Street	Les Extremes se Touclient, brandy and tobacco, rue Jean Robert, 13					DE 	XXXVIII	191	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	191	 		rue Jean Robert				
The Small Tradespeople	Street	Cife Bordin slopes toward the rue des Mathurins (?), (Marais)-du-Temple		Bordin			Po 	XVIII	337	 				Le cousin Pons	Po 	XVIII	337	 	Bordin	rue des Mathurins				
The Small Tradespeople	Street	Mars ate for 9 sous per meal at Mizerai’s, rue Michel-le-Comto``					ZM 	XXI	413	 				Z. Marcas 	ZM 	XXI	413	 		rue Michel-le-Comto				
The Small Tradespeople	Street	The rue de Moutmorency					DL 	XIII	179	 				La duchesse de Langeais	DL 	XIII	179	 		rue de Moutmorency				
The Small Tradespeople	Hotel	Au Mat de Cocagne, Conda, wine, rue des Morts, 44		Au Mat de Cocagne			DE 	XXXVIII	172	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	172	 	Au Mat de Cocagne	rue des Morts				
The Small Tradespeople	Hotel	The rue des Morts (rue des Ecluses-Saint-Martin)					ET 	XXI	4	 				ET 	ET 	XXI	4	 		rue des Morts				
The Small Tradespeople	Street	The rue Neuve-Bourg.l’Ablje					LF 	 	341	 				LF 	LF 	 	341	 		rue Neuve-Bourg.l’Ablje				
The Small Tradespeople	Street	Cerizet received Poupiffier’s rent for his house in rue Notre.Dame..de.Nazareth		Cerizet			PB 	XX	196	 				Les petits bourgeois	PB 	XX	196	 	Cerizet	rue Notre.Dame..de.Nazareth				
The Small Tradespeople	Street	A I’Ecrin, theater jewelry, Gerbaud, rue Notre-Dame.de Nazareth, 15					DE 	XXXVIII	163	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	163	 		rue Notre.Dame..de.Nazareth				
The Small Tradespeople	Street	Lambert, barber, rue Notre-Dame-de-Nazareth, 28		Lambert,			DE 	XXXVIII	176	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	176	 	Lambert,	rue Notre.Dame..de.Nazareth				
The Small Tradespeople	Street	The rue des Ours					Gar 	XXXIX	257	 				Gar 	Gar 	XXXIX	257	 		rue des Ours				
The Small Tradespeople	Street	Etymology of the name of the rue aux Ours					BJ 	XXXIX	22	 				BJ 	BJ 	XXXIX	22	 		rue aux Ours				
The Small Tradespeople	Street	The rue du Petit-Heuleu (Heurleur)					Bel IM	XXXVII	186	 				La belle impéria mariée	Bel IM	XXXVII	186	 		rue du Petit-Heuleu				
The Small Tradespeople	Street	The famous rue Quincampoix					GDCB 	XIV	91, 144	 				Histoire de la grandeur et la décadence de César Birotteau 	GDCB 	XIV	91, 144	 		rue Quincampoix				
The Small Tradespeople	Street	A Jean Bart, rue Royale, marche Saint-Martin, 20, Boutard, Novelties		Jean Bart			BE 	XXXVIII	170	 				BE 	BE 	XXXVIII	170	 	Jean Bart	 rue Royale				
The Small Tradespeople	Street	Georges Marest says he is son of a rich ironmonger of the rue Saint-Martin		Georges Marest			DV 	II	406	21				Un début dans la vie	DV 	II	406	21	Georges Marest	rue Saint-Martin				
The Small Tradespeople	Street	Werbrust and Gigonnet, discounters of the commerce of the rues Saint-Denis and Saint-Martin		Werbrust, Gigonnet			GDCB 	XIV	67	 				Histoire de la grandeur et la décadence de César Birotteau 	GDCB 	XIV	67	 	Werbrust, Gigonnet	rue Saint-Martin				
The Small Tradespeople	Street	Tournan, hatter, of the rue Saint-Martin		Tournan			E 	XIX	115	 				Les employés	E 	XIX	115	 	Tournan	rue Saint-Martin				
The Small Tradespeople	Street	A la Dame du Lac, Desportes, novelties, rue Saint Martin, 257					DE 	XXXVIII	161	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	161	 		rue Saint-Martin				
The Small Tradespeople	Street	Au Grand Mogol, bonnets, rue Saint-Martin, 287					DE 	XXXVIII	167	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	167	 		rue Saint-Martin				
The Small Tradespeople	Street	Au Gros Volant Bleu, toothpicks, rue Saint-Martin, 214					DE 	XXXVIII	168	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	168	 		rue Saint-Martin				
The Small Tradespeople	Street	"A Ia Juste Balance, Lhanard-Feron, jeweler, rue Saint-
Martin, 196"					DE 	XXXVIII	170	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	170	 		rue Saint-Martin				
The Small Tradespeople	Street	A la Maison Gothique, Durosne, distiller, rue Saint-Martin, 40					DE 	XXXVIII	171	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	171	 		rue Saint-Martin				
The Small Tradespeople	Street	Aux Mdecins Francais, Parissot, cloth, rue Saint-Martin, 262		Aux Mdecin			DE 	XXXVIII	172	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	172	 	Aux Mdecin	rue Saint-Martin				
The Small Tradespeople	Street	Au Paysage, lingerie, rue Saint-Martin, 144		Au Paysage			DE 	XXXVIII	176	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	176	 	Au Paysage	rue Saint-Martin				
The Small Tradespeople	Street	A Polichinelie Vampire, novelties, rue Saint-Martin, opposite the Conservatoire					DE 	XXXVIII	178	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	178	 		rue Saint-Martin				
The Small Tradespeople	Street	Au Vaisseau Marchand, Vatinel, ironmonger, rue Saint-Martin, 186					DE 	XXXVIII	184	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	184	 		rue Saint-Martin				
The Small Tradespeople	Street	The dirty, provincial, ill-shod masses of the rue Saint-Martin					HPB 	XL	615	 				Histoire et physiologie des boulevards de Paris 	HPB 	XL	615	 		rue Saint-Martin				
The Small Tradespeople	Street	The dirty, provincial, ill-shod masses of the rue Saint-Martin					DL 	XIII	179	 				La duchesse de Langeais	DL 	XIII	179	 		rue Saint-Martin				
The Small Tradespeople	Street	The dirty, provincial, ill-shod masses of the rue Saint-Martin					BJ 	XXXIX	22	 				BJ 	BJ 	XXXIX	22	 		rue Saint-Martin				
The Small Tradespeople	Street	The dirty, provincial, ill-shod masses of the rue Saint-Martin					LF 	 	341	 				LF 	LF 	 	341	 		rue Saint-Martin				
The Small Tradespeople	Street	The rue Simon-le-Franc					TA 	XXXIX	516	 				Terme d'Avril	TA 	XXXIX	516	 		rue Simon-le-Franc				
The Small Tradespeople	Quarter	The catastrophe (1834) of the rue Transnonain		catastrophe	1834		PB 	XX	39	 				Les petits bourgeois	PB 	XX	39	 	catastrophe	rue Transnonain				
The Small Tradespeople	Quarter	The shepherdesses” of the rue Transnonain					DE	XXXVIII	177	 				Petit dictionnaire critique des enseignes de Paris	DE	XXXVIII	177	 		rue Transnonain				
The Small Tradespeople	Building	Au Chocolatier, passage de l’Ancre					DE 	XXXVIII	189	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	189	 		passage de l’Ancre				
The Small Tradespeople	Building	Passage de l’Ancre : reference to Pigoiseau, toymaker					ADB 	XL	482	 				Les Amours de Deux Bêtes Offerts en Exemple aux Jeunes Gens 	ADB 	XL	482	 		passage de l’Ancre				
The Small Tradespeople	Building	Passage de l’Ancre : reference to Pigoiseau, toymaker					TA 	XXXIX	515	 				Terme d'Avril	TA 	XXXIX	515	 		passage de l’Ancre				
The Small Tradespeople	Street	Topinard lives in Cite Bordin (rue Bouchardon?) description		Topinard			Po 	XVIII	337, 337, 338, 352.	 				Le cousin Pons	Po 	XVIII	337, 337, 338, 352.	 	Topinard	rue Bouchardon				
The Small Tradespeople	Hotel	A Jean Bard, Boutard, novelties, marche Saint-Martin, 20		Jean Bard			DE 	XXXVIII	170	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	170	 	Jean Bard	marche Saint-Martin				
The Small Tradespeople	Hotel	Au Moine de Saint-Martin, Prevot, bonnets, Marche Saint-Martin					DE	 XXXVIII	173	 				Petit dictionnaire critique des enseignes de Paris	DE	 XXXVIII	173	 		marche Saint-Martin				
The Small Tradespeople	Hotel	The mountebanks’ platforms of the foire Saint-Laurent					SP 	XXXVIII	260	 				Souvenirs d'un Paris	SP 	XXXVIII	260	 		marche Saint-Martin				
The Small Tradespeople	Institution	The machines they put at the Conservatoire					PG 	VI	337	 				Le père Goriot	PG 	VI	337	 		the Conservatoire				
The Small Tradespeople	Institution	Example of French cabinet-work which should be put in the Conservatoire					MCP 	 	1, 4.	 				MCP 	MCP 	 	1, 4.	 		the Conservatoire				
The Small Tradespeople	Institution	A Polichinelle Vampire, rue Saint-Martin, opposite the Conservatoire		Polichinelle Vampire			DE 	XXXVIII	178	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	178	 	Polichinelle Vampire	the Conservatoire				
The Small Tradespeople	Street	Incurableg, in the rue du Faubourg-Saint-Martin		Incurableg			PG 	VI	490	 				Le père Goriot	PG 	VI	490	 	Incurableg	rue du Faubourg-Saint-Martin				
The Small Tradespeople	Street	Catherine Curieux at the hopitai Saint-Louis		Catherine			CV 	XXV	209, 232	 				Le curé de village 	CV 	XXV	209, 232	 	Catherine	Saint-Louis				
The Small Tradespeople	Street	The stéep eminence which ends in front of Saint-Lau-rent’s in the faubourg Saint-Martin					ET 	XXI	3	 				ET 	ET 	XXI	3	 		faubourg Saint-Martin				
The Small Tradespeople	Chruch	Saint-Laurent’s church					SP 	XXXVIII	260	 				Souvenirs d'un Paris	SP 	XXXVIII	260	 		Saint-Laurent’s church				
The Small Tradespeople	Theater	César had factories in the faubourg du Temple		César			GDCB 	XIV	14	 				Histoire de la grandeur et la décadence de César Birotteau 	GDCB 	XIV	14	 	César	faubourg du Temple				
The Small Tradespeople	Theater	He rented a shanty and lots in the faubourg du Temple					GDCB 	XIV	35	 				Histoire de la grandeur et la décadence de César Birotteau 	GDCB 	XIV	35	 		faubourg du Temple				
The Small Tradespeople	Theater	`’s workshop in the faubourg du Temple		César, Popinot			GDCB 	XIV	119, 129	 				Histoire de la grandeur et la décadence de César Birotteau 	GDCB 	XIV	119, 129	 	César, Popinot	faubourg du Temple				
The Small Tradespeople	Theater	César buys the sheds and lots of the faubourg du Temple		César			GDCB	XIV	40	 				Histoire de la grandeur et la décadence de César Birotteau	GDCB	XIV	40	 	César	faubourg du Temple				
The Small Tradespeople	Theater	These lots mortgaged by César					GDCB	XIV	141	 				Histoire de la grandeur et la décadence de César Birotteau	GDCB	XIV	141	 		faubourg du Temple				
The Small Tradespeople	Theater	Du Tillet buys them from the assignées of Birotteau		Du Tillet			GDCB	XIV	305, 306.	 				Histoire de la grandeur et la décadence de César Birotteau	GDCB	XIV	305, 306.	 	Du Tillet	faubourg du Temple				
The Small Tradespeople	Theater	Popinot keeps the factory in the faubourg du Temple		Popinot			GDCB	XIV	311, 321	 				Histoire de la grandeur et la décadence de César Birotteau	GDCB	XIV	311, 321	 	Popinot	faubourg du Temple				
The Small Tradespeople	Theater	Contenson wears a vest bought at the Temple		Contenson			SMC 	XV	120	 				Splendeurs et misères des courtisanes 	SMC 	XV	120	 	Contenson	faubourg du Temple				
The Small Tradespeople	Theater	Asie has an establishment at the Temple where she goes		Asie			SMC 	XV	177	 				Splendeurs et misères des courtisanes 	SMC 	XV	177	 	Asie	faubourg du Temple				
The Small Tradespeople	Theater	Asie has an establishment at the Temple where she goes		Asie			SMC 	XVI	49, 73.	 				Splendeurs et misères des courtisanes 	SMC 	XVI	49, 73.	 	Asie	faubourg du Temple				
The Small Tradespeople	Theater	Mile Paccard is the manager of this establishment		Mile Paccard			SMC 	XVI	73, 280.	 				Splendeurs et misères des courtisanes 	SMC 	XVI	73, 280.	 	Mile Paccard	faubourg du Temple				
The Small Tradespeople	Theater	Paz goes to the faubourg du Temple to find Malaga		Paz			FM 	IV	39	 				FM 	FM 	IV	39	 	Paz	faubourg du Temple				
The Small Tradespeople	Theater	Cerizet buys trousers, suit, hat, etc. at the Temple		Cerizet			PB 	XX	158	 				Les petits bourgeois	PB 	XX	158	 	Cerizet	faubourg du Temple				
The Small Tradespeople	Theater	A tailor at the Temple					DE 	XXXVIII	180	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	180	 		faubourg du Temple				
The Small Tradespeople	Theater	In 1823, when the canal Saint-Martin was decided upon, lots in the faubourg du Temple reached very high prices			1823		GDCB 	XIV	321	 				Histoire de la grandeur et la décadence de César Birotteau 	GDCB 	XIV	321	 		faubourg du Temple				
The Small Tradespeople		"Balzac foresees canal contracts are to be awarded; he wishes to subscribe"		Balzac			LF	 	47	 				LF	LF	 	47	 	Balzac					
The Small Tradespeople	Theater	Judge Popinot advises regularity in the lease of the faubourg du Temple workshop		Judge Popinot			GDCB 	XIV	154, 154	 				Histoire de la grandeur et la décadence de César Birotteau 	GDCB 	XIV	154, 154	 	Judge Popinot	faubourg du Temple				
The Small Tradespeople	Quarter	The Saint-Martin canal					FTA 	VI	128	 				La femme de trente ans	FTA 	VI	128	 		Saint-Martin canal				
The Small Tradespeople	Street	The rue d’Angouleme					EM 	XXXIX	428	 				Exaltation des ministres et translation de leurs restes dans les caveaux du Panthéon	EM 	XXXIX	428	 		rue d’Angouleme				
The Small Tradespeople	Restaurant	Au Capucin, Chappard, restaurateur, rue des Fosses-du Temple, corner of the rue d’Angouleme		Au Capucin			DE	XXXVIII	158	 				Petit dictionnaire critique des enseignes de Paris	DE	XXXVIII	158	 	Au Capucin	rue des Fosses-du Temple				
The Small Tradespeople	Street	The rue de Berry					EM 	XXXIX	428	 				Exaltation des ministres et translation de leurs restes dans les caveaux du Panthéon	EM 	XXXIX	428	 		 rue de Berry				
The Small Tradespeople	Street	Vervelie family lives in the rue Boucherat					PGr 	XVI	450	 				Pierre Grassou 	PGr 	XVI	450	 		rue Boucherat				
The Small Tradespeople	Street	Life ambition of workmen is to live on fourth floor, rue Boucherat					TVE 	XXXIX	154	 				Traité de la vie élégante 	TVE 	XXXIX	154	 		rue Boucherat				
The Small Tradespeople	Street	A Ia Dame-Jeanne, Ulrieh, sodas, rue Boucherat, 10					DE 	XXXVIII	161	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	161	 		rue Boucherat				
The Small Tradespeople	Street	Hairdresser, flinant, rue Boucherat, 4					DE 	XXXVIII	177	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	177	 		rue Boucherat				
The Small Tradespeople	Street	Aux Trois Lurons, Terrier, wine, rue Bourbon-Vileneuve (Aboukir), 18					DE 	XXXVIII	183	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	183	 		rue Bourbon-Vileneuve				
The Small Tradespeople	Street	The rue de Braque					AP	 	2	 				Argow le Pirate	AP	 	2	 		rue de Braque				
The Small Tradespeople	Street	Panorania-Dramatique via-a-iris the rue Chariot					IP 	XII	143	 				Illusions perdues 	IP 	XII	143	 		 rue Chariot				
The Small Tradespeople	Street	Lucien has an apartment in the rue Chariot		Lucien			IP 	XXI	214, 242	 				Illusions perdues 	IP 	XXI	214, 242	 	Lucien	 rue Chariot				
The Small Tradespeople	Street	The rue Chariot					Po 	XVIII	93, 116, 154	 				Le cousin Pons	Po 	XVIII	93, 116, 154	 		 rue Chariot				
The Small Tradespeople	Street	The rue Chariot					HPB	XL	612	 				Histoire et physiologie des boulevards de Paris	HPB	XL	612	 		 rue Chariot				
The Small Tradespeople	Street	Au Cadran Bieu, restaurant, boulevard du Temple at the corner of the rue Chariot		Au Cadran Bieu			DE 	XXXVIII	157	22				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	157	22	Au Cadran Bieu	 rue Chariot				
The Small Tradespeople	Street	The rue du Chaume					DF 	III	224	 				Une double famille 	DF 	III	224	 		rue du Chaume				
The Small Tradespeople	Street	The rue du Chaume					AP	 	2	 				Argow le Pirate	AP	 	2	 		rue du Chaume				
The Small Tradespeople	Street	The rue de la Corderie					TA 	XXXIX	516	 				Terme d'Avril	TA 	XXXIX	516	 		rue de la Corderie				
The Small Tradespeople	Street	Ida Gruget lives in the rue de la Corderie.du-Temple, 14		Ida Gruget			F 	XIII	88, 144	 				Ferragus	F 	XIII	88, 144	 	Ida Gruget	rue de la Corderie				
The Small Tradespeople	Street	Mile de la Chanterie lives for a while in the rue de la Corderie-du-Temple		Mile			EHC 	XX	302	 				L'envers de l'histoire contemporain	EHC 	XX	302	 	Mile	rue de la Corderie				
The Small Tradespeople	Street	Florentine lived in the rue de Crussol		Florentine			R 	IX	297	 				La rabouilleuse	R 	IX	297	 	Florentine	rue de Crussol				
The Small Tradespeople	Street	"Ferragus installed in the rue des Enfants-Rouges, 12, at
Ida Gruget’s"		Ferragus			F 	XIII	102, 103	 				Ferragus	F 	XIII	102, 103	 	Ferragus	rue des Enfants-Rouges				
The Small Tradespeople	Street	The widow Gruget lives in the rue des Enfants-Rouges					F 	XIII	113	 				Ferragus	F 	XIII	113	 		rue des Enfants-Rouges				
The Small Tradespeople	Theater	César’s factory in the rue du Faubourg.du-Temple		Ceasr			GDCB 	XIV	100	 				Histoire de la grandeur et la décadence de César Birotteau 	GDCB 	XIV	100	 	Ceasr	rue du Faubourg.du-Temple				
The Small Tradespeople	Theater	"Lawsuit relative to the lots of the rue du Faubourg-du
Temple"					GDCB 	XIV	305	 				Histoire de la grandeur et la décadence de César Birotteau 	GDCB 	XIV	305	 		rue du Faubourg.du-Temple				
The Small Tradespeople	Theater	"Braulard, head claqueur, lives in the rue du Faubourg
du-Temple"		Braulard			IP 	XII	260, 261	 				Illusions perdues 	IP 	XII	260, 261	 	Braulard	rue du Faubourg.du-Temple				
The Small Tradespeople	Theater	The Faubourg-du-Temple					HPB.	XL	612, 615	 				Histoire et physiologie des boulevards de Paris.	HPB.	XL	612, 615	 		rue du Faubourg.du-Temple				
The Small Tradespeople	Street	Stage door of the Panoranna-Dramatique opens into the rue des Fossés-du-Temple					IP	XII	168	 				Illusions perdues	IP	XII	168	 		rue des Fossés-du-Temple				
The Small Tradespeople	Street	Malaga lived in the rue des Fossés-du-Temple on the fifth floor (Marguerite Turquet)		Malaga			FM 	IV	39	 				FM 	FM 	IV	39	 	Malaga	rue des Fossés-du-Temple				
The Small Tradespeople	Street	Au Capucin, Chappard, restaurateur, rue des Fosses-du Temple, corner of the rue d’Angouleme					DE 	XXXVIII	158	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	158	 		rue des Fossés-du-Temple				
The Small Tradespeople	Street	"Saint-François-d’Assise church situated in the rue d’or
leans (au Marais), near Grandville’s house"					DF 	III	273	 				Une double famille 	DF 	III	273	 		rue des Fossés-du-Temple				
The Small Tradespeople	Street	"Poulain lived in the rue d’Orléans (Marais) ; description"		Poulain			Po 	XVIII	174	 				Le cousin Pons	Po 	XVIII	174	 	Poulain	rue d’Orléans				
The Small Tradespeople	Street	Cantinet, beadle of Saint-François-d’Assise, lived in the rue d’Orleans (Marais)					Po 	XVIII	292	 				Le cousin Pons	Po 	XVIII	292	 		rue d’Orléans				
The Small Tradespeople	Street	Pons buried from the Saint-François-d’Assise church, rue d’Orieans (Marais)		Pons			Po 	XVIII	317	 				Le cousin Pons	Po 	XVIII	317	 	Pons	rue d’Orléans				
The Small Tradespeople	Building	The rue des Quatre-Fils					AP	 	2	 				Argow le Pirate	AP	 	2	 		rue des Quatre-Fils				
The Small Tradespeople	Street	Samuel Frisch., jew, jeweler of the rue Sainte-Avoie		Samuel Frisch			SMC	XV	198	 				Splendeurs et misères des courtisanes	SMC	XV	198	 	Samuel Frisch	rue Sainte-Avoie				
The Small Tradespeople	Street	General Director of Forets et des Contributions Indirectea formerly lodged in a magnificent hôtel in the rue Sainte-Avoie					E 	XIX	76	 				Les employés	E 	XIX	76	 		rue Sainte-Avoie				
The Small Tradespeople	Street	General Director of Forets et des Contributions Indirectea formerly lodged in a magnificent hôtel in the rue Sainte-Avoie					PE	XL	494	 				Physiologie de l'employé	PE	XL	494	 						
The Small Tradespeople	Street	Au Mouton d’Or, Cervoise, coppersmith, rue de Sain tonge, 8					DE 	XXXVIII	174	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	174	 		,rue de Sain tonge				
